source_organisation,source_location,amountUSD,flow,destination_organisation,destination_location
International Organization for Migration,,738552,incoming,International Organization for Migration,South Sudan
International Organization for Migration,,738552,incoming,International Organization for Migration,South Sudan
"United States of America, Government of",United States,78800000,incoming,United Nations High Commissioner for Refugees,South Sudan
"France, Government of",France,250000,incoming,United Nations High Commissioner for Refugees,South Sudan
Private (individuals & organisations),,123,incoming,United Nations High Commissioner for Refugees,South Sudan
Private (individuals & organisations),,951,incoming,United Nations High Commissioner for Refugees,South Sudan
Private (individuals & organisations),,80000,incoming,World Vision South Sudan,South Sudan
"Ireland, Government of",Ireland,550000,incoming,World Vision South Sudan,South Sudan
United Nations Advance Mission in Sudan,,3183399,incoming,United Nations Mine Action Service,South Sudan
"United Kingdom , Government of",United Kingdom,7396450,incoming,Concern Worldwide,South Sudan
European Commission,,2713704,incoming,Concern Worldwide,South Sudan
European Commission,,1146341,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,375000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,200000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,225000,incoming,World Vision South Sudan,South Sudan
"Canada, Government of",Canada,550000,incoming,World Vision South Sudan,South Sudan
"Ireland, Government of",Ireland,250000,incoming,World Vision South Sudan,South Sudan
"Ireland, Government of",Ireland,160000,incoming,World Vision South Sudan,South Sudan
"Spain, Government of",Spain,20000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,50000,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,830000,incoming,World Vision South Sudan,South Sudan
Empty,,580000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,500000,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,440000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,150000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,50000,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,469752,incoming,OXFAM GB,South Sudan
Empty,,1268394,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,484094,incoming,Concern Worldwide,South Sudan
Empty,,2782200,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,426829,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,548611,incoming,Concern Worldwide,South Sudan
Private (individuals & organisations),,230000,incoming,Concern Worldwide,South Sudan
Empty,,29364,incoming,Handicap International,South Sudan
Empty,,233312,incoming,Christian Mission Aid,South Sudan
Empty,,113684,incoming,Christian Mission Aid,South Sudan
World Health Organization,,55417,incoming,Christian Mission Aid,South Sudan
Open Society Foundations,,15500,incoming,Impact Health Organization,South Sudan
"Ireland, Government of",Ireland,487805,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,441362,incoming,Concern Worldwide,South Sudan
"United States of America, Government of",United States,721848,incoming,Concern Worldwide,South Sudan
"United States of America, Government of",United States,2530248,incoming,OXFAM GB,South Sudan
"United States of America, Government of",United States,18809,incoming,Lacha Community and Economic Development,South Sudan
"Norway, Government of",Norway,409836,incoming,Norwegian Refugee Council,South Sudan
"Japan, Government of",Japan,200000,incoming,UN Women,South Sudan
Empty,,3945002,incoming,World Relief,South Sudan
Private (individuals & organisations),,250000,incoming,World Relief,South Sudan
"United States of America, Government of",United States,385509,incoming,World Relief,South Sudan
Private (individuals & organisations),,312175,incoming,Terre des Hommes - Lausanne,South Sudan
Empty,,136000,incoming,Comitato Collaborazione Medica,South Sudan
Empty,,130000,incoming,Comitato Collaborazione Medica,South Sudan
Empty,,437500,incoming,Collegio Universitario Aspirante e Medici Missionari,South Sudan
Empty,,690034,incoming,World Relief,South Sudan
Empty,,526099,incoming,Universal Intervention and Development Organization,South Sudan
Private (individuals & organisations),,53465,incoming,Universal Intervention and Development Organization,South Sudan
Private (individuals & organisations),,14466,incoming,Universal Intervention and Development Organization,South Sudan
Private (individuals & organisations),,329225,incoming,Help - Hilfe zur Selbsthilfe e.V.,South Sudan
Private (individuals & organisations),,1020954,incoming,ACT Alliance / DanChurchAid,South Sudan
"United States of America, Government of",United States,1000000,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
Private (individuals & organisations),,114533,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
Private (individuals & organisations),,14430,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
Private (individuals & organisations),,244747,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
Private (individuals & organisations),,2212389,incoming,Norwegian Refugee Council,South Sudan
Private (individuals & organisations),,100000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,400000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,100000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,291802,incoming,Confident Children out of Conflict,South Sudan
Private (individuals & organisations),,130000,incoming,World Vision South Sudan,South Sudan
European Commission,,409124,incoming,Confident Children out of Conflict,South Sudan
Private (individuals & organisations),,44358,incoming,Handicap International,South Sudan
Private (individuals & organisations),,64926,incoming,Handicap International,South Sudan
"Germany, Government of",Germany,106045,incoming,Handicap International,South Sudan
"Denmark, Government of",Denmark,16000,incoming,Danish Refugee Council,South Sudan
Private (individuals & organisations),,794509,incoming,CARE International,South Sudan
"Denmark, Government of",Denmark,20000,incoming,Danish Refugee Council,South Sudan
Empty,,4542252,incoming,CARE International,South Sudan
Private (individuals & organisations),,35142,incoming,CARE International,South Sudan
Private (individuals & organisations),,35000,incoming,American Refugee Committee,South Sudan
Private (individuals & organisations),,12509,incoming,Christian Mission for Development,South Sudan
Private (individuals & organisations),,5705,incoming,Christian Mission for Development,South Sudan
Private (individuals & organisations),,295858,incoming,Nonviolent Peaceforce,South Sudan
Private (individuals & organisations),,189599,incoming,Nonviolent Peaceforce,South Sudan
Private (individuals & organisations),,300000,incoming,Nonviolent Peaceforce,South Sudan
Private (individuals & organisations),,63340,incoming,Nonviolent Peaceforce,South Sudan
European Children's Trust,,429743,incoming,Nonviolent Peaceforce,South Sudan
"Netherlands, Government of",Netherlands,412890,incoming,Nonviolent Peaceforce,South Sudan
Private (individuals & organisations),,221239,incoming,International Rescue Committee,South Sudan
"Netherlands, Government of",Netherlands,1058268,incoming,CARE International,South Sudan
"United Kingdom , Government of",United Kingdom,283252,incoming,CARE International,South Sudan
Private (individuals & organisations),,4096521,incoming,Agency for Technical Cooperation and Development,South Sudan
"United Kingdom , Government of",United Kingdom,696430,incoming,Agency for Technical Cooperation and Development,South Sudan
"Denmark, Government of",Denmark,812000,incoming,Danish Refugee Council,South Sudan
"Denmark, Government of",Denmark,388457,incoming,Danish Refugee Council,South Sudan
"Denmark, Government of",Denmark,122850,incoming,Danish Refugee Council,South Sudan
"Denmark, Government of",Denmark,540403,incoming,Danish Refugee Council,South Sudan
"Denmark, Government of",Denmark,44045,incoming,Danish Refugee Council,South Sudan
Private (individuals & organisations),,730000,incoming,The Health Support Organization,South Sudan
Private (individuals & organisations),,250000,incoming,The Health Support Organization,South Sudan
"Denmark, Government of",Denmark,747490,incoming,Danish Refugee Council,South Sudan
"United Kingdom , Government of",United Kingdom,36664,incoming,Agency for Technical Cooperation and Development,South Sudan
United Nations High Commissioner for Refugees,,1300000,incoming,Samaritan's Purse,South Sudan
Private (individuals & organisations),,140038,incoming,Catholic Relief Services,South Sudan
"Denmark, Government of",Denmark,1023751,incoming,ACT Alliance / DanChurchAid,South Sudan
Private (individuals & organisations),,552455,incoming,ACT Alliance / DanChurchAid,South Sudan
Private (individuals & organisations),,49300,incoming,ACT Alliance / DanChurchAid,South Sudan
"Germany, Government of",Germany,216685,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action),South Sudan
Private (individuals & organisations),,80000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,23000,incoming,World Vision South Sudan,South Sudan
"Denmark, Government of",Denmark,101080,incoming,IBIS,South Sudan
Private (individuals & organisations),,53000,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
Empty,,823545,incoming,International Medical Corps UK,South Sudan
"United Kingdom , Government of",United Kingdom,500000,incoming,International Medical Corps UK,South Sudan
"Norway, Government of",Norway,1189061,incoming,Norwegian Refugee Council,South Sudan
Private (individuals & organisations),,117805,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,56098,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,218579,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,106585,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,1343874,incoming,TEARFUND,South Sudan
"United States of America, Government of",United States,640000,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,220000,incoming,Islamic Relief Worldwide,South Sudan
Private (individuals & organisations),,219055,incoming,Search for Common Ground,South Sudan
Private (individuals & organisations),,1014131,incoming,Search for Common Ground,South Sudan
Private (individuals & organisations),,43316,incoming,Plan International,South Sudan
Private (individuals & organisations),,300000,incoming,Plan International,South Sudan
Empty,,188720,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Empty,,180634,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,60976,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,277201,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,1361000,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,726045,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,214634,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,31137,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
Private (individuals & organisations),,100000,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
Private (individuals & organisations),,319285,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
"Netherlands, Government of",Netherlands,566893,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
Empty,,251818,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
Empty,,143200,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
Empty,,53988,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
Empty,,3826,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
Empty,,3933,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,518135,incoming,MEDAIR,South Sudan
"United States of America, Government of",United States,666666,incoming,MEDAIR,South Sudan
"United States of America, Government of",United States,797055,incoming,Catholic Relief Services,South Sudan
"United States of America, Government of",United States,643612,incoming,Catholic Relief Services,South Sudan
"United States of America, Government of",United States,103620,incoming,Samaritan's Purse,South Sudan
"Netherlands, Government of",Netherlands,268100,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
"Netherlands, Government of",Netherlands,121860,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation,South Sudan
"Netherlands, Government of",Netherlands,329024,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation,South Sudan
"Netherlands, Government of",Netherlands,121013,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation,South Sudan
"Netherlands, Government of",Netherlands,221326,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation,South Sudan
"United States of America, Government of",United States,233500,incoming,World Relief,South Sudan
"United States of America, Government of",United States,866667,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,300000,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,1458595,incoming,American Refugee Committee,South Sudan
"United States of America, Government of",United States,4849700,incoming,Mentor Initiative,South Sudan
"United States of America, Government of",United States,875000,incoming,International Rescue Committee,South Sudan
"United States of America, Government of",United States,625000,incoming,International Rescue Committee,South Sudan
"United States of America, Government of",United States,620000,incoming,Danish Refugee Council,South Sudan
"United States of America, Government of",United States,1351946,incoming,Agency for Technical Cooperation and Development,South Sudan
"United States of America, Government of",United States,1003054,incoming,Agency for Technical Cooperation and Development,South Sudan
"United States of America, Government of",United States,625000,incoming,Danish Refugee Council,South Sudan
UNICEF National Committee/Poland,,432446,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Portugal,,13805,incoming,United Nations Children's Fund,South Sudan
"Sweden, Government of",Sweden,464468,incoming,United Nations Children's Fund,South Sudan
"Ireland, Government of",Ireland,191367,incoming,Universal Intervention and Development Organization,South Sudan
"United Kingdom , Government of",United Kingdom,477191,incoming,Norwegian Refugee Council,South Sudan
"Qatar, Government of",Qatar,50186,incoming,Qatar Red Crescent Society,South Sudan
European Commission,,2758621,incoming,Norwegian Refugee Council,South Sudan
"United States of America, Government of",United States,375786,incoming,Internews,South Sudan
United Nations Population Fund,,1151689,incoming,United Nations Population Fund,South Sudan
"United States of America, Government of",United States,750000,incoming,United Nations Population Fund,South Sudan
"United States of America, Government of",United States,3000000,incoming,Save the Children ,South Sudan
"Norway, Government of",Norway,1239000,incoming,Save the Children ,South Sudan
"Netherlands, Government of",Netherlands,1000000,incoming,Save the Children ,South Sudan
"United Kingdom , Government of",United Kingdom,1875000,incoming,Save the Children ,South Sudan
"Norway, Government of",Norway,1239000,incoming,Save the Children ,South Sudan
"Denmark, Government of",Denmark,992303,incoming,Save the Children ,South Sudan
International Organization for Migration,,300000,incoming,Save the Children ,South Sudan
"Denmark, Government of",Denmark,431000,incoming,Save the Children ,South Sudan
European Commission,,1700000,incoming,Save the Children ,South Sudan
"Denmark, Government of",Denmark,2985306,incoming,South Sudan CHF,South Sudan
Private (individuals & organisations),,15000,incoming,Kissito Healthcare International,South Sudan
Private (individuals & organisations),,56000,incoming,Kissito Healthcare International,South Sudan
Private (individuals & organisations),,72000,incoming,Kissito Healthcare International,South Sudan
"Japan, Government of",Japan,200000,incoming,United Nations Population Fund,South Sudan
"Netherlands, Government of",Netherlands,699593,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
"United States of America, Government of",United States,960000,incoming,MEDAIR,South Sudan
UNICEF National Committee/Portugal,,100849,incoming,United Nations Children's Fund,South Sudan
US Fund for UNICEF,,64474,incoming,United Nations Children's Fund,South Sudan
US Fund for UNICEF,,90263,incoming,United Nations Children's Fund,South Sudan
US Fund for UNICEF,,51579,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Finland,,52500,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Finland,,13726,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,1366667,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,1800000,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,416667,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,250000,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,860387,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,202020,incoming,Health Link South Sudan,South Sudan
Empty,,429606,incoming,The Health Support Organization,South Sudan
Private (individuals & organisations),,723605,incoming,GOAL,South Sudan
Private (individuals & organisations),,834339,incoming,GOAL,South Sudan
Empty,,1409271,incoming,GOAL,South Sudan
European Commission,,459955,incoming,GOAL,South Sudan
"Sweden, Government of",Sweden,539944,incoming,Swedish Red Cross ,South Sudan
"Sweden, Government of",Sweden,3483511,incoming,International Committee of the Red Cross,South Sudan
"Sweden, Government of",Sweden,928936,incoming,ACT Alliance / Church of Sweden,South Sudan
"Sweden, Government of",Sweden,1162926,incoming,Norwegian Refugee Council,South Sudan
"Sweden, Government of",Sweden,24389,incoming,Swedish Civil Contingencies Agency (MSB),South Sudan
"France, Government of",France,226757,incoming,Premi̬re Urgence - Aide M̩dicale Internationale,South Sudan
Samaritan's Purse,,230268,incoming,Samaritan's Purse,South Sudan
Samaritan's Purse,,627610,incoming,Samaritan's Purse,South Sudan
"Sweden, Government of",Sweden,694034,incoming,Swedish Mission Council,South Sudan
US Fund for UNICEF,,169160,incoming,United Nations Children's Fund,South Sudan
Private (individuals & organisations),,131647,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Luxembourg,,85056,incoming,United Nations Children's Fund,South Sudan
Central Emergency Response Fund,,285668,incoming,United Nations Children's Fund,South Sudan
"Luxembourg, Government of",Luxembourg,544662,incoming,United Nations High Commissioner for Refugees,South Sudan
Central Emergency Response Fund,,214638,incoming,United Nations Children's Fund,South Sudan
Central Emergency Response Fund,,1451678,incoming,United Nations High Commissioner for Refugees,South Sudan
"Ireland, Government of",Ireland,704000,incoming,World Vision South Sudan,South Sudan
"Denmark, Government of",Denmark,1460280,incoming,Food & Agriculture Organization of the United Nations,South Sudan
